order_id,customer_id,order_date,Order Status,Subtotal (inc tax),sub_total,Tax Total,Shipping Cost (inc tax),Shipping Cost (ex tax),Ship Method,Order Total (inc tax),order_total,total_quantity,Date Shipped,city,state,zip,Product Details,Coupon Details
2366,1276,9/2/2016,Shipped,66.74,62,3.32,5.5,5.5,Ship by Weight,52.22,48.9,1,10/2/2016,Denver,CO,80230,"Product ID: 512, Product Qty: 1, Product SKU: 601-Black-XS, Product Name: Camisole, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 66.74, Product Total Price: 66.74","Coupon Code: 30now, Coupon Name: 30% discount at Cocktails event, Coupon Value: 18.60"
2368,213,10/2/2016,Shipped,268.57,261,5.3,0,0,Free Shipping,188,182.7,4,10/2/2016,Littleton,CO,80127,"Product ID: 501, Product Qty: 1, Product SKU: 301-Black-XS, Product Name: V-Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 511, Product Qty: 1, Product SKU: 501-Black-M, Product Name: Tank, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 512, Product Qty: 1, Product SKU: 601-Black-XS, Product Name: Camisole, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 552, Product Qty: 1, Product SKU: 1070-Black-XS, Product Name: Legging, Product Weight: 0.3000, Product Variation Details: Size: XS, Product Unit Price: 77.18, Product Total Price: 77.18","Coupon Code: 30now, Coupon Name: 30% discount at Cocktails event, Coupon Value: 78.30"
4177,792,28/10/2020,Shipped,160,160,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,112,112,2,28/10/2020,Washington,DC,20008,"Product ID: 660, Product Qty: 2, Product SKU: 402-Black-XL, Product Name: Luxury Crew Neck - Long Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: XL, Product Unit Price: 80.00, Product Total Price: 160.00","Coupon Code: 689R5PT26, Coupon Name: 30% off over $100, Coupon Value: 48.00"
4174,673,27/10/2020,Shipped,168,168,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,117.6,117.6,2,28/10/2020,Dallas,TX,75230,"Product ID: 658, Product Qty: 1, Product SKU: 802-Bluestone-M, Product Name: Luxury Turtleneck - Long Sleeve, Product Weight: 0.3000, Product Variation Details: Color: Bluestone, Size: M, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 658, Product Qty: 1, Product SKU: 802-Navy-M, Product Name: Luxury Turtleneck - Long Sleeve, Product Weight: 0.3000, Product Variation Details: Color: Navy, Size: M, Product Unit Price: 84.00, Product Total Price: 84.00","Coupon Code: 689R5PT26, Coupon Name: 30% off over $100, Coupon Value: 50.40"
4173,1731,27/10/2020,Shipped,238,238,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,166.6,166.6,3,29/10/2020,San Francisco,CA,94129,"Product ID: 658, Product Qty: 1, Product SKU: 802-Black-S, Product Name: Luxury Turtleneck - Long Sleeve, Product Weight: 0.3000, Product Variation Details: Color: Black, Size: S, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 660, Product Qty: 1, Product SKU: 402, Product Name: Luxury Crew Neck - Long Sleeve, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 80.00, Product Total Price: 80.00|Product ID: 665, Product Qty: 1, Product SKU: 301-White-M, Product Name: Luxury V-Neck - Short Sleeve, Product Weight: 0.3500, Product Variation Details: Color: White, Size: M, Product Unit Price: 74.00, Product Total Price: 74.00","Coupon Code: 689R5PT26, Coupon Name: 30% off over $100, Coupon Value: 71.40"
4179,769,29/10/2020,Shipped,240,240,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,168,168,3,30/10/2020,Glastonbury,CT,6033,"Product ID: 667, Product Qty: 2, Product SKU: 202-Natural-L, Product Name: Luxury Scoop Neck - Long Sleeve, Product Weight: 0.2000, Product Variation Details: Color: Natural, Size: L, Product Unit Price: 80.00, Product Total Price: 160.00|Product ID: 667, Product Qty: 1, Product SKU: 202-White-L, Product Name: Luxury Scoop Neck - Long Sleeve, Product Weight: 0.2000, Product Variation Details: Color: White, Size: L, Product Unit Price: 80.00, Product Total Price: 80.00","Coupon Code: 689R5PT26, Coupon Name: 30% off over $100, Coupon Value: 72.00"
1705,1027,2/12/2014,Shipped,71,69,1.6,5.5,5.5,Ship by Weight,62.3,60.7,1,3/12/2014,Evergreen,CO,80439,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-M, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 13.80"
1690,1013,2/12/2014,Shipped,74.26,69,4.21,5.5,5.5,Ship by Weight,64.91,60.7,1,2/12/2014,Denver,CO,80223,"Product ID: 554, Product Qty: 1, Product SKU: 402-Navy-XS, Product Name: Crew Neck, Long Sleeve, Navy, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 74.26, Product Total Price: 74.26","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 13.80"
1715,1033,5/12/2014,Shipped,74.26,69,4.21,5.5,5.5,Ship by Weight,64.91,60.7,1,9/12/2014,DENVER,CO,80236,"Product ID: 608, Product Qty: 1, Product SKU: 230-Black-M, Product Name: Scoop Neck, 3/4 Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 74.26, Product Total Price: 74.26","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 13.80"
1722,1036,8/12/2014,Shipped,69,69,0,5.5,5.5,Ship by Weight,60.7,60.7,1,8/12/2014,Encampment,WY,82325,"Product ID: 500, Product Qty: 1, Product SKU: 302-Black-XL, Product Name: V-Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 69.00, Product Total Price: 69.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 13.80"
1725,1039,8/12/2014,Shipped,73.06,71,1.65,5.5,5.5,Ship by Weight,63.95,62.3,1,9/12/2014,Golden,CO,80403,"Product ID: 555, Product Qty: 1, Product SKU: 802-White-L, Product Name: Turtleneck, Long Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 73.06, Product Total Price: 73.06","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 14.20"
1687,1010,2/12/2014,Shipped,97.93,91,5.55,5.5,5.5,Ship by Weight,83.85,78.3,3,2/12/2014,Denver,CO,80210,"Product ID: 521, Product Qty: 2, Product SKU: 1031-Black-M, Product Name: Thong, Black, Product Weight: 0.1000, Product Variation Details: Size: M, Product Unit Price: 10.76, Product Total Price: 21.52|Product ID: 558, Product Qty: 1, Product SKU: 802-Black-XL, Product Name: Turtleneck, Long Sleeve, Black, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 76.41, Product Total Price: 76.41","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 18.20"
1703,1025,2/12/2014,Shipped,95.7,93,2.16,0,0,Free Shipping,76.56,74.4,2,3/12/2014,Paonia,CO,81428,"Product ID: 501, Product Qty: 1, Product SKU: 301-Black-L, Product Name: V-Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 503, Product Qty: 1, Product SKU: 101-White-L, Product Name: Deep Scoop, Short Sleeve, Size Large Only, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 31.90, Product Total Price: 31.90","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 18.60"
1684,1008,2/12/2014,Shipped,101.87,99,2.3,0,0,Free Shipping,81.5,79.2,1,2/12/2014,Evans,CO,80620,"Product ID: 590, Product Qty: 1, Product SKU: 2000-Navy-L, Product Name: Droop Neck, 3/4 Sleeve, Navy, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 101.87, Product Total Price: 101.87","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 19.80"
1723,1038,8/12/2014,Shipped,101.87,99,2.3,0,0,Free Shipping,81.5,79.2,1,9/12/2014,Broomfield,CO,80023,"Product ID: 584, Product Qty: 1, Product SKU: 2000-Chili Pepper Red-L, Product Name: Droop Neck, 3/4 Sleeve, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 101.87, Product Total Price: 101.87","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 19.80"
1689,1012,2/12/2014,Shipped,122.45,119,2.76,0,0,Free Shipping,97.96,95.2,2,2/12/2014,Fort Collins,CO,80524,"Product ID: 541, Product Qty: 1, Product SKU: 1060-Shell Pink-M/L, Product Name: Robe, Shell Pink, Product Weight: 1.0000, Product Variation Details: Size: M/L, Product Unit Price: 49.39, Product Total Price: 49.39|Product ID: 575, Product Qty: 1, Product SKU: 802-Slate Gray-L, Product Name: Turtleneck, Long Sleeve, Slate Gray, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 73.06, Product Total Price: 73.06","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 23.80"
1730,1043,10/12/2014,Shipped,127.6,124,2.88,0,0,Free Shipping,102.08,99.2,2,11/12/2014,Steamboat Springs,CO,80487,"Product ID: 559, Product Qty: 1, Product SKU: 501-Java-XL, Product Name: Tank, Java, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 587, Product Qty: 1, Product SKU: 501-Chili Pepper Red-XL, Product Name: Tank, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 63.80, Product Total Price: 63.80","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 24.80"
1693,1017,2/12/2014,Shipped,134.8,131,3.04,0,0,Free Shipping,107.84,104.8,2,2/12/2014,Aurora,CO,80013,"Product ID: 574, Product Qty: 1, Product SKU: 501-Slate Gray-XS, Product Name: Tank, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 63.80, Product Total Price: 63.80|Product ID: 583, Product Qty: 1, Product SKU: 202-Chili Pepper Red-XS, Product Name: Modest Scoop, Long Sleeve, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: Extra Small, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 26.20"
1698,1021,2/12/2014,Shipped,142,138,3.2,0,0,Free Shipping,113.6,110.4,2,2/12/2014,Centennial,CO,80121,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-S, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 572, Product Qty: 1, Product SKU: 402-Slate Gray-S, Product Name: Crew Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 27.60"
1695,1019,2/12/2014,Shipped,142,138,3.2,0,0,Free Shipping,113.6,110.4,2,2/12/2014,Windsor,CO,80550,"Product ID: 510, Product Qty: 1, Product SKU: 402-Black-M, Product Name: Crew Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 549, Product Qty: 1, Product SKU: 402-Java-M, Product Name: Crew Neck, Long Sleeve, Java, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 27.60"
1694,1018,2/12/2014,Shipped,148.52,138,8.41,0,0,Free Shipping,118.81,110.4,2,2/12/2014,Denver,CO,80218,"Product ID: 510, Product Qty: 1, Product SKU: 402-Black-L, Product Name: Crew Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 74.26, Product Total Price: 74.26|Product ID: 543, Product Qty: 1, Product SKU: 402-White-L, Product Name: Crew Neck, Long Sleeve, White, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 74.26, Product Total Price: 74.26","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 27.60"
1711,1031,3/12/2014,Shipped,140,140,0,0,0,Free Shipping,112,112,2,4/12/2014,Appleton,WI,54911,"Product ID: 572, Product Qty: 1, Product SKU: 402-Slate Gray-S, Product Name: Crew Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 69.00, Product Total Price: 69.00|Product ID: 588, Product Qty: 1, Product SKU: 802-Chili Pepper Red-M, Product Name: Turtleneck, Long Sleeve, Chili Pepper Red ONLY Size S & M Left, Product Weight: 0.3000, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 28.00"
1708,1028,2/12/2014,Shipped,148.18,144,3.34,0,0,Free Shipping,118.54,115.2,2,3/12/2014,Aurora,CO,80012,"Product ID: 552, Product Qty: 1, Product SKU: 1070-Black-L, Product Name: Legging, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 77.18, Product Total Price: 77.18|Product ID: 572, Product Qty: 1, Product SKU: 402-Slate Gray-L, Product Name: Crew Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 28.80"
1691,1015,2/12/2014,Shipped,172.87,168,3.9,0,0,Free Shipping,138.3,134.4,2,2/12/2014,Steamboat Springs,CO,80487,"Product ID: 573, Product Qty: 1, Product SKU: 302-Grey-M, Product Name: V-Neck, Long Sleeve, Slate Gray, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 584, Product Qty: 1, Product SKU: 2000-Chili Pepper Red-M, Product Name: Droop Neck, 3/4 Sleeve, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 101.87, Product Total Price: 101.87","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 33.60"
1732,1045,10/12/2014,Shipped,172.87,168,3.9,0,0,Free Shipping,138.3,134.4,2,11/12/2014,Golden,CO,80401-6503,"Product ID: 556, Product Qty: 1, Product SKU: 202-Java-XL, Product Name: Modest Scoop, Long Sleeve, Java, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 590, Product Qty: 1, Product SKU: 2000-Navy-S, Product Name: Droop Neck, 3/4 Sleeve, Navy, Product Weight: 0.3000, Product Variation Details: Size: S, Product Unit Price: 101.87, Product Total Price: 101.87","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 33.60"
1699,1022,2/12/2014,Shipped,213,207,4.8,0,0,Free Shipping,170.4,165.6,3,2/12/2014,Westcliffe,CO,81252,"Product ID: 496, Product Qty: 1, Product SKU: 202-Black-S, Product Name: Modest Scoop, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 496, Product Qty: 1, Product SKU: 202-Black-M, Product Name: Modest Scoop, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 496, Product Qty: 1, Product SKU: 202-Black-L, Product Name: Modest Scoop, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 41.40"
1704,1026,2/12/2014,Shipped,230,230,0,0,0,Free Shipping,184,184,3,3/12/2014,Temecula,CA,92592,"Product ID: 500, Product Qty: 1, Product SKU: 302-Black-XL, Product Name: V-Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 69.00, Product Total Price: 69.00|Product ID: 501, Product Qty: 1, Product SKU: 301-Black-XL, Product Name: V-Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 62.00, Product Total Price: 62.00|Product ID: 525, Product Qty: 1, Product SKU: 1050-Black-XL, Product Name: EveryWear Luxury Pant, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 99.00, Product Total Price: 99.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 46.00"
1683,1009,2/12/2014,Shipped,258.28,251,5.82,0,0,Free Shipping,206.62,200.8,4,2/12/2014,Iliff,CO,80736,"Product ID: 508, Product Qty: 1, Product SKU: 302-White-XL, Product Name: V-Neck, Long Sleeve, White, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 516, Product Qty: 1, Product SKU: 1010-Black-XL, Product Name: Lounge Short, Black, Sizes XS and XL only, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 14.41, Product Total Price: 14.41|Product ID: 527, Product Qty: 1, Product SKU: 1050-White-XL, Product Name: EveryWear Luxury Pant, White, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 101.87, Product Total Price: 101.87|Product ID: 549, Product Qty: 1, Product SKU: 402-Java, Product Name: Crew Neck, Long Sleeve, Java, Product Weight: 0.3500, Product Variation Details: Size: XXL, Product Unit Price: 71.00, Product Total Price: 71.00","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 50.20"
1700,1023,2/12/2014,Shipped,290.18,282,6.54,0,0,Free Shipping,232.14,225.6,4,2/12/2014,Boulder,CO,80303,"Product ID: 495, Product Qty: 2, Product SKU: 202-Natural-M, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 142.00|Product ID: 500, Product Qty: 1, Product SKU: 302-Black-M, Product Name: V-Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 552, Product Qty: 1, Product SKU: 1070-Black-M, Product Name: Legging, Product Weight: 0.3000, Product Variation Details: Size: M, Product Unit Price: 77.18, Product Total Price: 77.18","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 56.40"
1701,1024,2/12/2014,Shipped,46.31,45,1.04,5.5,5.5,Ship by Weight,42.54,41.5,1,2/12/2014,Loveland,CO,80538,"Product ID: 491, Product Qty: 1, Product SKU: 101-Natural-L, Product Name: Deep Scoop, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 46.31, Product Total Price: 46.31","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 9.00"
1697,1020,2/12/2014,Shipped,50.42,49,1.14,8.35,8.35,Ship by Weight,48.69,47.55,1,2/12/2014,Littleton,CO,80123,"Product ID: 542, Product Qty: 1, Product SKU: 1060-White-M/L, Product Name: Robe, White, Product Weight: 1.0000, Product Variation Details: Size: M/L, Product Unit Price: 50.42, Product Total Price: 50.42","Coupon Code: 9news, Coupon Name: 9news, Coupon Value: 9.80"
2771,1358,12/12/2016,Shipped,35,35,0,0,0,Free Shipping,17.5,17.5,1,12/12/2016,Saratoga,CA,95070,"Product ID: 538, Product Qty: 1, Product SKU: 401-Natural-M, Product Name: Crew Neck, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 35.00, Product Total Price: 35.00","Coupon Code: almostgone, Coupon Name: Sale Page 50% off, Coupon Value: 17.50"
2704,1348,1/12/2016,Shipped,41.98,39,1.49,0,0,Free Shipping,20.99,19.5,1,2/12/2016,Denver,CO,80210,"Product ID: 536, Product Qty: 1, Product SKU: 501-Natural-XS, Product Name: Tank, Natural Size XS only, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 41.98, Product Total Price: 41.98","Coupon Code: almostgone, Coupon Name: Sale Page 50% off, Coupon Value: 19.50"
2775,1359,12/12/2016,Shipped,69,69,0,0,0,Free Shipping,34.5,34.5,1,13/12/2016,Santa Fe,nm,87506,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-S, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 69.00, Product Total Price: 69.00","Coupon Code: almostgone, Coupon Name: Sale Page 50% off, Coupon Value: 34.50"
